"Region Hovedstaden";33596
"København";16732
"Frederiksberg";1677
"Dragør";127
"Tårnby";878
"Albertslund";597
"Ballerup";775
"Brøndby";710
"Gentofte";842
"Gladsaxe";816
"Glostrup";497
"Herlev";821
"Hvidovre";826
"Høje-Taastrup";839
"Ishøj";413
"Lyngby-Taarbæk";614
"Rødovre";701
"Vallensbæk";166
"Allerød";179
"Egedal";340
"Fredensborg";319
"Frederikssund";538
"Furesø";390
"Gribskov";505
"Halsnæs";378
"Helsingør";942
"Hillerød";702
"Hørsholm";347
"Rudersdal";562
"Bornholm";363
"Christiansø";0
"Region Sjælland";9528
"Greve";632
"Køge";783
"Lejre";234
"Roskilde";1009
"Solrød";199
"Faxe";257
"Guldborgsund";874
"Holbæk";809
"Kalundborg";493
"Lolland";580
"Næstved";1039
"Odsherred";384
"Ringsted";327
"Slagelse";986
"Sorø";270
"Stevns";172
"Vordingborg";480
"Region Syddanmark";15346
"Assens";443
"Faaborg-Midtfyn";516
"Kerteminde";204
"Langeland";97
"Middelfart";362
"Nordfyns";333
"Nyborg";474
"Odense";3008
"Svendborg";621
"Ærø";15
"Billund";384
"Esbjerg";1799
"Fanø";24
"Fredericia";763
"Haderslev";597
"Kolding";1230
"Sønderborg";664
"Tønder";522
"Varde";440
"Vejen";440
"Vejle";1354
"Aabenraa";1056
"Region Midtjylland";15552
"Favrskov";426
"Hedensted";347
"Horsens";1135
"Norddjurs";448
"Odder";132
"Randers";1390
"Samsø";29
"Silkeborg";963
"Skanderborg";636
"Syddjurs";411
"Aarhus";5092
"Herning";957
"Holstebro";550
"Ikast-Brande";799
"Lemvig";171
"Ringkøbing-Skjern";476
"Skive";446
"Struer";190
"Viborg";954
"Region Nordjylland";6081
"Brønderslev";268
"Frederikshavn";547
"Hjørring";453
"Jammerbugt";319
"Læsø";6
"Mariagerfjord";436
"Morsø";211
"Rebild";256
"Thisted";310
"Vesthimmerlands";847
"Aalborg";2428
"Uoplyst kommune";13642
